,set,unit,cycle,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,P50,Nf,Nc,Wf
2236,DS08a,12.0,29.0,0.023467526,0.06387701,0.0357261,0.06508346,0.062344514,0.03950947,0.061499037,0.16353442,0.05708371,0.039682463,0.06264252,0.065139644,0.062290225,0.19811991
2237,DS08a,12.0,30.0,0.018130912,0.041928474,0.02360958,0.046006456,0.061940037,0.039668187,0.06345231,0.20578887,0.05887421,0.03969221,0.064588286,0.04646757,0.06177353,0.2280795
2238,DS08a,12.0,31.0,0.029371623,0.04372389,0.039495695,0.038261857,0.077870816,0.037020765,0.08041792,0.16671145,0.066407725,0.03772394,0.08110423,0.03963496,0.07742035,0.18483463
2239,DS08a,12.0,32.0,0.032089207,0.0399537,0.06388317,0.042012237,0.07713893,0.031610895,0.08564133,0.1628221,0.06579872,0.031355638,0.08616545,0.04273469,0.076271586,0.16252242
2240,DS08a,12.0,33.0,0.018791964,0.058376018,0.031633783,0.0541275,0.07101857,0.03495556,0.070188545,0.16190268,0.06453105,0.03533573,0.07083511,0.055148434,0.070633546,0.2025215
2241,DS08a,12.0,34.0,0.019402228,0.053965744,0.027792068,0.051733952,0.069212675,0.035620537,0.073455,0.1694848,0.064970426,0.035950344,0.07391261,0.05293777,0.06925045,0.20231149
2242,DS08a,12.0,35.0,0.027617909,0.041119047,0.059808765,0.0490005,0.06801205,0.032733236,0.09250441,0.16723204,0.06574967,0.033128068,0.092022695,0.04934389,0.06906978,0.15265815
2243,DS08a,12.0,36.0,0.035944894,0.054114,0.06160568,0.059315164,0.072378,0.031413496,0.09208531,0.1304077,0.068685845,0.031363495,0.092369944,0.06003699,0.072245345,0.13803405
2244,DS08a,12.0,37.0,0.030723315,0.054477494,0.060167868,0.061740357,0.07012086,0.030802773,0.0948498,0.13599835,0.06741528,0.030921822,0.09477958,0.062845215,0.06997923,0.13517801
2245,DS08a,12.0,38.0,0.028111767,0.055235904,0.060001265,0.060255356,0.06986359,0.031561177,0.08941091,0.14347525,0.0661071,0.031939756,0.0890367,0.061175402,0.07038434,0.14344144
2246,DS08a,12.0,39.0,0.037124217,0.064163335,0.06370224,0.0632898,0.074353114,0.03250445,0.08527786,0.115268655,0.06960639,0.032899506,0.084902234,0.06423727,0.07444459,0.1382263
2247,DS08a,12.0,40.0,0.028594363,0.079257816,0.05088015,0.07968845,0.06645852,0.055015855,0.060203392,0.11408823,0.061060656,0.056246303,0.059758242,0.080617584,0.06692872,0.14120175
2248,DS08a,12.0,41.0,0.03584976,0.081358545,0.051074192,0.082812026,0.06901571,0.07596935,0.053440765,0.092387885,0.0647813,0.0776807,0.053267576,0.082644835,0.069377914,0.11033937
2249,DS08a,12.0,42.0,0.050028525,0.07144321,0.050460853,0.09109604,0.068830244,0.06926239,0.090346664,0.07048837,0.056103565,0.070270024,0.089892484,0.09674271,0.068795584,0.056239393
2250,DS08a,12.0,43.0,0.026385859,0.094022185,0.036076576,0.11202064,0.0583135,0.09139026,0.046820123,0.09439772,0.03939306,0.09373173,0.047126774,0.113119915,0.05758381,0.08961796
2251,DS08a,12.0,44.0,0.046017036,0.075053126,0.034397807,0.09714165,0.05737526,0.101935275,0.06032983,0.08487983,0.048829462,0.105562575,0.060428035,0.10757224,0.0561733,0.06430464
