,set,unit,cycle,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,P50,Nf,Nc,Wf
622,DS03,12.0,27.0,0.03636617,0.07615053,0.07780486,0.07466562,0.074280836,0.09735392,0.051712662,0.08889371,0.07375942,0.04520797,0.076323934,0.08991285,0.046467,0.091100514
623,DS03,12.0,28.0,0.035910565,0.08550625,0.071533136,0.071896814,0.067201555,0.094378315,0.047896963,0.10143443,0.06667053,0.054392118,0.070250645,0.10107362,0.04220371,0.089651346
624,DS03,12.0,29.0,0.034965843,0.06597014,0.09341446,0.06297016,0.092708066,0.086261034,0.066701174,0.0702552,0.092813864,0.032535866,0.09144109,0.07150778,0.05911678,0.07933854
625,DS03,12.0,30.0,0.03390515,0.06992516,0.08456374,0.062458094,0.09365701,0.090439536,0.065025926,0.07380893,0.09295889,0.0364937,0.08204169,0.07573818,0.05478193,0.084202066
626,DS03,12.0,31.0,0.035473038,0.07519986,0.08024323,0.06975473,0.07731772,0.094275676,0.05714053,0.084744796,0.077375084,0.04553859,0.079687275,0.08519593,0.051321596,0.08673194
627,DS03,12.0,32.0,0.034655742,0.07734326,0.07807684,0.07255261,0.07114052,0.09490791,0.055875387,0.09116758,0.07107387,0.047122963,0.07770122,0.09128544,0.049252603,0.087844074
628,DS03,12.0,33.0,0.03574477,0.07263931,0.08312616,0.06894101,0.07825125,0.092128605,0.061487004,0.08373377,0.077791266,0.043115452,0.080513656,0.084281124,0.053229503,0.08501712
629,DS03,12.0,34.0,0.040571377,0.081258036,0.07268391,0.06752871,0.071428455,0.09013036,0.055149253,0.09623152,0.0709632,0.053996373,0.071642786,0.094940275,0.047248058,0.0862277
630,DS03,12.0,35.0,0.035254803,0.0680207,0.08984152,0.06649502,0.08697537,0.08890214,0.0631673,0.07542503,0.08706881,0.03550531,0.088479936,0.07655906,0.05623852,0.082066484
631,DS03,12.0,36.0,0.035803907,0.063720144,0.09137427,0.060634114,0.09880321,0.08793016,0.07021078,0.06548374,0.09820051,0.031230705,0.08832387,0.06754428,0.05973592,0.08100439
632,DS03,12.0,37.0,0.035889708,0.06491848,0.090713255,0.0718663,0.08711097,0.08972923,0.062489856,0.074673586,0.08645063,0.031318974,0.08794899,0.07694672,0.05559183,0.08435147
633,DS03,12.0,38.0,0.037108846,0.06901861,0.08509905,0.071149774,0.085712336,0.09390292,0.057698704,0.07685716,0.085228875,0.03702048,0.08298683,0.07893609,0.051603384,0.08767694
634,DS03,12.0,39.0,0.035523474,0.07076849,0.08499265,0.06550412,0.086690575,0.091532685,0.06152017,0.076021485,0.08717469,0.039684482,0.084864385,0.0770447,0.054711983,0.083966106
635,DS03,12.0,40.0,0.0365336,0.064431556,0.08998484,0.068002924,0.0952213,0.0900732,0.062176716,0.06925632,0.09431824,0.030147778,0.08757634,0.072233744,0.055285554,0.08475789
636,DS03,12.0,41.0,0.036924012,0.05529784,0.10177838,0.057046946,0.11516579,0.08313585,0.074113935,0.050946858,0.11337219,0.019805351,0.09607363,0.055000838,0.063751906,0.07758647
637,DS03,12.0,42.0,0.034154076,0.072934695,0.080708385,0.0718385,0.07671929,0.09422718,0.06045641,0.085774556,0.07614328,0.042141534,0.07759828,0.08676181,0.052582666,0.087959334
638,DS03,12.0,43.0,0.038743358,0.05198606,0.10259582,0.052298162,0.12239596,0.08164209,0.079800494,0.04420496,0.120576516,0.01741773,0.09659248,0.0482936,0.06710731,0.076345444
639,DS03,12.0,44.0,0.03512176,0.06416984,0.092464045,0.06415512,0.09674915,0.08801491,0.064650424,0.067831405,0.09617181,0.030560492,0.09000167,0.07021292,0.058023114,0.081873335
640,DS03,12.0,45.0,0.03887332,0.05536896,0.10779558,0.035243712,0.14716773,0.07209467,0.08036331,0.031117741,0.14471562,0.014070966,0.10208302,0.036927372,0.06723894,0.06693907
641,DS03,12.0,46.0,0.037644003,0.05643905,0.09638231,0.06717172,0.100021414,0.087947324,0.06748965,0.06279472,0.098684475,0.02608885,0.092001595,0.06607306,0.058476485,0.08278535
642,DS03,12.0,47.0,0.04345308,0.048704457,0.11064364,0.03824466,0.14462304,0.075252585,0.07788456,0.029991133,0.14232607,0.01289089,0.10461246,0.035849202,0.065125205,0.07039902
643,DS03,12.0,48.0,0.040302057,0.054031797,0.10086927,0.058548514,0.11415028,0.0852346,0.06995397,0.051213607,0.11249359,0.021384927,0.09617538,0.055374518,0.06036725,0.07990025
644,DS03,12.0,49.0,0.04273871,0.043884333,0.10999451,0.052469686,0.123885155,0.08042087,0.07622567,0.04246614,0.122050725,0.016503427,0.103891015,0.046547595,0.06365143,0.07527075
645,DS03,12.0,50.0,0.04688651,0.037159044,0.116935425,0.038104586,0.14560978,0.0747325,0.08127289,0.026200213,0.14330082,0.0097279195,0.11196404,0.031089928,0.067019686,0.06999666
646,DS03,12.0,51.0,0.04337104,0.041044816,0.111160226,0.034399044,0.15094766,0.07620867,0.08529168,0.024416659,0.14857651,0.009823218,0.10520376,0.029511632,0.0684328,0.071612276
647,DS03,12.0,52.0,0.05414542,0.02686892,0.12839155,0.021166194,0.17044105,0.06395992,0.08327562,0.01081368,0.16720225,0.0053789592,0.12380361,0.017177993,0.06638195,0.060992908
648,DS03,12.0,53.0,0.058572516,0.02539558,0.14134157,0.020230899,0.16757043,0.052864987,0.082925916,0.011586562,0.16429949,0.0055428073,0.13648582,0.017318938,0.06596073,0.049903784
649,DS03,12.0,54.0,0.054929532,0.026374938,0.12872395,0.021324154,0.17022927,0.063517116,0.08332736,0.010788809,0.16696502,0.005391285,0.12430631,0.01732687,0.066216625,0.06057875
650,DS03,12.0,55.0,0.06483867,0.018421104,0.13794649,0.018793814,0.17148207,0.05485975,0.08635841,0.008101339,0.16809522,0.0045855786,0.13399069,0.014677203,0.065393046,0.05245661
651,DS03,12.0,56.0,0.07529674,0.015618054,0.14902563,0.014853746,0.17084955,0.047725014,0.083327085,0.005146463,0.16742057,0.0037341083,0.14582478,0.011434571,0.06408926,0.04565443
652,DS03,12.0,57.0,0.073823065,0.014020633,0.1529603,0.0126756895,0.17578346,0.04224073,0.08398732,0.0036301662,0.17208609,0.0035929012,0.1500809,0.010609792,0.06393611,0.040572837
653,DS03,12.0,58.0,0.07286593,0.013056398,0.15752804,0.011923397,0.17711233,0.038545776,0.08394333,0.0032664123,0.17333482,0.0028456943,0.1546225,0.010137424,0.06384818,0.03696977
654,DS03,12.0,59.0,0.0808675,0.011843432,0.16020815,0.011302566,0.17383254,0.036896024,0.083946005,0.0029494525,0.1699342,0.0027260804,0.15729897,0.009497238,0.0632805,0.03541736
655,DS03,12.0,60.0,0.10101778,0.0045302,0.18780828,0.0058479584,0.16836837,0.015012851,0.08417247,0.0012881578,0.1637402,0.0016204274,0.18562536,0.005215513,0.06158737,0.014165074
656,DS03,12.0,61.0,0.10616207,0.0029762932,0.19614321,0.0042696553,0.16634691,0.008380077,0.08424002,0.0010363377,0.16168907,0.0014226305,0.194577,0.0038794102,0.061232984,0.007644345
657,DS03,12.0,62.0,0.10628246,0.0030202898,0.19657971,0.004348873,0.16583982,0.007875478,0.08402991,0.0010983448,0.16149132,0.0015965682,0.19540232,0.0039689117,0.061383087,0.007082896
658,DS03,12.0,63.0,0.11716387,0.0023966697,0.20011018,0.0032614248,0.16122828,0.004876002,0.08438058,0.0009690077,0.15630531,0.0015844731,0.19961295,0.0030530365,0.060856696,0.004201518
659,DS03,12.0,64.0,0.11982079,0.002059298,0.20186752,0.0027821222,0.16019557,0.0036448692,0.084362745,0.0008927302,0.15523255,0.0014218582,0.20144415,0.0026395584,0.06061468,0.0030215636
660,DS03,12.0,65.0,0.1239921,0.001636461,0.20348369,0.0022272859,0.158764,0.002649663,0.08455045,0.00076478184,0.1534064,0.0011197013,0.20291443,0.0021382896,0.0602408,0.0021119248
661,DS03,12.0,66.0,0.12366389,0.002106607,0.20220864,0.00268745,0.15829027,0.0029372966,0.08429329,0.00096984935,0.15317596,0.0015752071,0.2025706,0.002604075,0.060596798,0.0023200861
662,DS03,12.0,67.0,0.12684129,0.0019026215,0.20277241,0.0023703189,0.15711352,0.0024946893,0.0845703,0.0008653472,0.15169065,0.0014992071,0.20326185,0.0023087105,0.060391508,0.001917548
663,DS03,12.0,68.0,0.13335517,0.0016626662,0.20344746,0.0019347974,0.15421055,0.0018877789,0.08466858,0.000838543,0.14851876,0.001440056,0.20458516,0.0019042587,0.06016414,0.0013820655
664,DS03,12.0,69.0,0.13865939,0.0012311817,0.20442738,0.0014234638,0.15296468,0.0013609919,0.08533152,0.00063693617,0.1460827,0.0010385781,0.20512055,0.001410008,0.059346963,0.00096564874
665,DS03,12.0,70.0,0.14043508,0.0013273627,0.20389533,0.0014754495,0.1519371,0.0013801792,0.08532849,0.0007023844,0.14495984,0.0012281158,0.20535605,0.0014694236,0.059534464,0.00097071554
666,DS03,12.0,71.0,0.14415395,0.0016366646,0.20341627,0.0012443754,0.1511622,0.0011610055,0.08629938,0.0008714525,0.1430265,0.0022010228,0.20379287,0.0012457018,0.05884851,0.0009400765
667,DS03,12.0,72.0,0.14257793,0.0013071522,0.20377417,0.0013590478,0.15131903,0.0012665932,0.08566783,0.00068057526,0.14386933,0.0013270021,0.20532449,0.0013592766,0.05927643,0.00089115597
668,DS03,12.0,73.0,0.14204933,0.0015920246,0.20327194,0.001440246,0.15157735,0.0013691786,0.085981905,0.00078467437,0.14396936,0.001828025,0.2044159,0.001439131,0.059272084,0.0010088669
669,DS03,12.0,74.0,0.14726649,0.001733546,0.20340483,0.0010303131,0.15074645,0.0010057454,0.08723669,0.0008290389,0.1415178,0.0024942423,0.20287263,0.0010373305,0.057971288,0.0008536216
670,DS03,12.0,75.0,0.14610143,0.0015406864,0.20321074,0.0011979924,0.15062979,0.0011580422,0.08673181,0.0007597778,0.14200945,0.0019493048,0.20414594,0.0012075421,0.058476202,0.00088129594
671,DS03,12.0,76.0,0.14714155,0.0013670195,0.20368618,0.0010910172,0.15041749,0.0010517607,0.08673089,0.0006995443,0.14164275,0.0016772264,0.20435283,0.0010998452,0.05824136,0.00080055476
672,DS03,12.0,77.0,0.14801823,0.0013832822,0.2039917,0.0010062224,0.15071309,0.0010107417,0.08710759,0.0006696273,0.14122614,0.0017631436,0.20371163,0.0010165029,0.05760437,0.00077776506
673,DS03,12.0,78.0,0.14806834,0.0017414558,0.2034197,0.0010237822,0.15100737,0.0010604277,0.08799009,0.0008226796,0.14109235,0.0024649776,0.20212047,0.0010364137,0.057258002,0.0008939751
674,DS03,12.0,79.0,0.14787799,0.0016238583,0.2033224,0.0010436085,0.15103036,0.0010632738,0.08783984,0.0007874839,0.14108372,0.0022109547,0.2027514,0.0010559673,0.05743744,0.0008717167
675,DS03,12.0,80.0,0.1475166,0.0020449427,0.20300877,0.0011146734,0.15153433,0.0011672546,0.0890033,0.0009874247,0.14112666,0.0029920023,0.20033008,0.0011276851,0.057001524,0.0010447674
676,DS03,12.0,81.0,0.14765643,0.0020167984,0.20304666,0.0010942694,0.15210162,0.0011653348,0.08934021,0.0009965593,0.14084378,0.002945729,0.20003815,0.0011077779,0.05659026,0.0010564178
